symbol	address	ref_from	ref_type	function	function_entry
PORTAUDIO_X64.DLL::Pa_StartStream	EXTERNAL:0000001d	140043678	DATA		
PORTAUDIO_X64.DLL::Pa_StartStream	EXTERNAL:0000001d	14003611d	COMPUTED_JUMP	Pa_StartStream	14003611d
PORTAUDIO_X64.DLL::Pa_StopStream	EXTERNAL:0000001e	140043680	DATA		
PORTAUDIO_X64.DLL::Pa_StopStream	EXTERNAL:0000001e	140036123	COMPUTED_JUMP	Pa_StopStream	140036123
PORTAUDIO_X64.DLL::Pa_IsStreamStopped	EXTERNAL:0000001f	140043688	DATA		
PORTAUDIO_X64.DLL::Pa_IsStreamStopped	EXTERNAL:0000001f	140036129	COMPUTED_JUMP	Pa_IsStreamStopped	140036129
PORTAUDIO_X64.DLL::Pa_IsStreamActive	EXTERNAL:00000020	140043690	DATA		
PORTAUDIO_X64.DLL::Pa_IsStreamActive	EXTERNAL:00000020	14003612f	COMPUTED_JUMP	Pa_IsStreamActive	14003612f
PORTAUDIO_X64.DLL::PaAsio_GetAvailableBufferSizes	EXTERNAL:00000021	140043698	DATA		
PORTAUDIO_X64.DLL::PaAsio_GetAvailableBufferSizes	EXTERNAL:00000021	140036135	COMPUTED_JUMP	PaAsio_GetAvailableBufferSizes	140036135
PORTAUDIO_X64.DLL::Pa_Initialize	EXTERNAL:00000022	1400436a0	DATA		
PORTAUDIO_X64.DLL::Pa_Initialize	EXTERNAL:00000022	1400360ed	COMPUTED_JUMP	Pa_Initialize	1400360ed
PORTAUDIO_X64.DLL::Pa_OpenStream	EXTERNAL:00000023	1400436a8	DATA		
PORTAUDIO_X64.DLL::Pa_OpenStream	EXTERNAL:00000023	140036111	COMPUTED_JUMP	Pa_OpenStream	140036111
PORTAUDIO_X64.DLL::Pa_GetDeviceInfo	EXTERNAL:00000024	1400436b0	DATA		
PORTAUDIO_X64.DLL::Pa_GetDeviceInfo	EXTERNAL:00000024	14003610b	COMPUTED_JUMP	Pa_GetDeviceInfo	14003610b
PORTAUDIO_X64.DLL::Pa_HostApiDeviceIndexToDeviceIndex	EXTERNAL:00000025	1400436b8	DATA		
PORTAUDIO_X64.DLL::Pa_HostApiDeviceIndexToDeviceIndex	EXTERNAL:00000025	140036105	COMPUTED_JUMP	Pa_HostApiDeviceIndexToDeviceIndex	140036105
PORTAUDIO_X64.DLL::Pa_GetErrorText	EXTERNAL:00000026	1400436c0	DATA		
PORTAUDIO_X64.DLL::Pa_GetErrorText	EXTERNAL:00000026	1400360e7	COMPUTED_JUMP	Pa_GetErrorText	1400360e7
PORTAUDIO_X64.DLL::Pa_GetHostApiInfo	EXTERNAL:00000027	1400436c8	DATA		
PORTAUDIO_X64.DLL::Pa_GetHostApiInfo	EXTERNAL:00000027	1400360ff	COMPUTED_JUMP	Pa_GetHostApiInfo	1400360ff
PORTAUDIO_X64.DLL::Pa_Terminate	EXTERNAL:00000028	1400436d0	DATA		
PORTAUDIO_X64.DLL::Pa_Terminate	EXTERNAL:00000028	1400360f3	COMPUTED_JUMP	Pa_Terminate	1400360f3
PORTAUDIO_X64.DLL::Pa_GetHostApiCount	EXTERNAL:00000029	1400436d8	DATA		
